tipu,esta,muni,dess,ptda,msnm,lati,logi,temp,temp_min,temp_max,hrel,vent,vent_dir,vent_max,prec,prec_mes,prec_int_h,data_ini
soci,c21m105e07,Cullera,el Marenyet,,2,39.14200700,-0.23894500,"22,2","16,9","23,1","57,0","14,5",ENE,"19,3","0,0","27,0","0,0",23/09/2025 13:53
soci,c21m105e06,Cullera,Faro,,26,39.18891200,-0.22452200,"21,9","18,3","22,9","63,0","12,9",E,"25,7","0,0","22,6","0,0",23/09/2025 13:40
soci,c21m105e03,Cullera,San Antonio,,10,39.16250000,-0.24470000,"22,6","19,0","23,8","55,0","11,3",NE,"24,1","0,0","38,0","0,0",23/09/2025 13:55
soci,c21m123e01,Favara,,,20,39.12733800,-0.28727000,"24,5","16,3","25,4","56,0","9,7",E,"19,3","0,0","24,0","0,0",23/09/2025 13:59
soci,c21m125e01,Fortaleny,,,9,39.18385200,-0.31377900,"24,7","15,6","24,7","43,0","15,8",E,"16,6","0,0",,"0,0",23/09/2025 13:56
soci,c21m155e03,Llaur&iacute;,,,16,39.14696100,-0.33023300,"24,9","16,9","25,4","47,0","1,1",SE,"20,1","0,0",,"0,0",23/09/2025 13:56
soci,c21m233e01,Sollana,,El Roman&iacute;,0,39.30400000,-0.38700000,"25,2","13,4","25,3","47,0","8,7",SE,"29,5","0,0","13,2","0,0",23/09/2025 13:50
soci,c21m233e02,Sollana,l&#039;Albufera/Tancat de Milia,,0,39.31123300,-0.35598300,"23,9","15,4","24,8","56,0","11,3",OSO,"22,5","0,0",,"0,0",23/09/2025 13:49
soci,c21m235e05,Sueca,centre,,10,39.20079300,-0.31359800,"24,2","16,7","25,2","53,0","11,3",ENE,"20,9","0,0","17,6","0,0",23/09/2025 13:54
soci,c21m235e04,Sueca,,les Palmeres,16,39.25859780,-0.26492612,"22,4","14,6","23,0","58,0","9,7",E,"22,5","0,0","40,0","0,0",23/09/2025 13:54
soci,c21m235e02,Sueca,,Mareny Blau,29,39.22520000,-0.24540000,"22,6","15,0","22,9","61,0","8,0",NE,"19,3","0,0","52,4","0,0",23/09/2025 13:51
soci,c21m235e09,Sueca,l&#039;Albufera/Tancat de l&#039;Estell,,1,39.29444900,-0.31526500,"24,3","13,4","24,3","52,0","16,1",ESE,"20,9","0,0","5,8","0,0",23/09/2025 13:52
soci,c21m235e10,Sueca,Materal <img class='mxlogis' alt='climatoclab' src='https://www.avamet.org/fotos/logis/logo-climatoclab.png'>,,4,39.21388800,-0.31666600,"23,8",,"24,5","44,0","10,9",E,"22,0","0,0","7,2","0,0",23/09/2025 13:45
soci,c21m235e06,Sueca,Muntanyeta dels Sants,,10,39.24108800,-0.31698600,"23,9","14,3","25,2","52,0","19,3",E,"22,5","0,0","10,0","0,0",23/09/2025 13:53
soci,c22m118e05,Enguera, <img class='mxlogis' alt='ADENE' src='https://www.avamet.org/fotos/logis/logo-adene.png'>,Naval&oacute;n,740,38.92515500,-0.88422200,"19,8","7,6","20,8","61,0","0,0",E,"8,0","0,0","19,8","0,0",23/09/2025 13:55
soci,c22m118e01,Enguera,<img class='mxlogis' alt='ADENE' src='https://www.avamet.org/fotos/logis/logo-adene.png'>,,287,38.97733300,-0.69544400,"25,0","11,9","25,0","54,0","4,8",E,"19,3","0,0","39,6","0,0",23/09/2025 13:53
soci,c22m118e08,Enguera,Benali <img class='mxlogis' alt='ADENE' src='https://www.avamet.org/fotos/logis/logo-adene.png'>,,710,39.00542000,-0.83085500,"21,3","11,9","21,7","48,0","4,8",NNO,"16,1","0,0","16,6","0,0",23/09/2025 13:55
soci,c22m118e06,Enguera,Benig&uuml;engo,,745,38.96918100,-0.86877800,"19,5","8,3","19,5","47,0","3,2",SE,"13,0","0,0","23,4","0,0",23/09/2025 13:56
soci,c22m118e09,Enguera,Ca&ntilde;ada Molina (RuralCan <img class='mxlogis' alt='ADENE' src='https://www.avamet.org/fotos/logis/logo-adene.png'>),,958,38.91768500,-0.95014700,"19,5","8,2","19,9","39,0","0,4",ENE,"16,6","0,0","13,7","0,0",23/09/2025 13:50
avmt,c22m118e02,Enguera,El Transformador,,751,38.95743200,-0.82561700,"19,7","11,1","21,1","58,0","11,3",ESE,"17,7","0,0","13,2","0,0",23/09/2025 13:55
soci,c22m039e01,Anna,,,220,39.02008500,-0.64879700,"24,6","13,8","24,8","53,0","3,2",ENE,"14,5","0,0","43,8","0,0",23/09/2025 13:55
avmt,c22m071e01,Bicorp,Los Botijos,,519,39.08581800,-0.86603200,"23,6","7,1","23,6","32,0","6,4",ONO,"19,3","0,0","5,4","0,0",23/09/2025 13:55
soci,c22m071e02,Bicorp,Ecomuseo,,292,39.13200100,-0.78749200,"23,9","13,1","23,9",,"5,5",SE,"16,6","0,0",,"0,0",23/09/2025 13:56
soci,c22m073e02,Bolbaite,,,235,39.05982200,-0.67463200,"25,1","13,6","25,1","41,0","3,2",NE,"16,1","0,0","11,4","0,0",23/09/2025 13:49
soci,c22m167e01,Millares,,,350,39.23743100,-0.77281600,"24,4","13,9","24,4","33,0","1,6",N,"14,5","0,0","17,0","0,0",23/09/2025 13:55
soci,c22m179e01,Navarr&eacute;s,Playamonte,,217,39.07889700,-0.69972900,"24,5","12,4","24,5","38,0","5,5",SO,"18,3","0,0","3,3","0,0",23/09/2025 13:56
soci,c22m206e02,Quesa,Campamento R&iacute;o Grande,,335,39.09374600,-0.78362500,"24,5","12,7","25,3","38,0","0,0",NE,"11,2","0,0","10,6","0,0",23/09/2025 13:50
soci,c22m206e01,Quesa,EcoCampingQuesa,,250,39.10880420,-0.75222234,"24,7","12,3","25,1","37,0","6,4",NNE,"19,3","0,0","8,4","0,0",23/09/2025 13:55
soci,c22m107e03,Chella,,,230,39.04422200,-0.66188900,"25,7","13,1","25,7","41,0","3,2",ESE,"12,9","0,0","26,4","0,0",23/09/2025 13:55
soci,c22m107e02,Chella,El Rinc&oacute;n,,235,39.02786200,-0.66875300,"25,1","12,9","25,2","45,0","4,8",NO,"11,3","0,0","47,0","0,0",23/09/2025 13:44
soci,c22m107e05,Chella,gasolinera,,218,39.03412000,-0.65368700,"23,7","12,1","24,4","43,0","2,2",SO,"16,6","0,0","27,9","0,0",23/09/2025 13:50
soci,c22m107e06,Chella,Plantcanal,,213,39.04959580,-0.67019530,"23,9","12,2","24,1","42,0","7,2",ESE,"20,0","0,0","19,4","0,0",23/09/2025 13:50
soci,c23m045e02,Barxeta,,,124,39.02298100,-0.41592500,"24,1","13,3","25,3","51,0","9,7",SE,"20,9","0,0","58,2","0,0",23/09/2025 13:55
soci,c23m081e03,Canals,IES Sivera Font,,172,38.97092800,-0.57929700,"24,7","16,0","24,7","45,0","1,2",NO,"12,9","0,0","14,0","0,0",23/09/2025 13:55
soci,c23m132e04,el Genov&eacute;s,,,142,38.98964300,-0.46866800,"24,4","16,3","24,4","44,0","9,7",ENE,"19,3","0,0","26,4","0,0",23/09/2025 13:55
soci,c23m020e02,l&prime;Alc&uacute;dia de Crespins/Canals,la Muntanyeta,,170,38.96765050,-0.58485300,"24,2","15,4","24,3","45,0","3,2",NO,"14,5","0,0","14,4","0,0",23/09/2025 13:51
soci,c23m128e06,la Font de la Figuera, les Pebraes,,644,38.77998730,-0.85335550,"20,4","12,8","20,4","47,0","4,8",NNO,"19,3","0,0","11,6","0,0",23/09/2025 13:55
soci,c23m128e02,la Font de la Figuera,Parc solar,,596,38.79694400,-0.88305600,"20,5","13,3","20,6","46,0","7,2",NE,"22,5","0,0","4,2","0,0",23/09/2025 13:55
soci,c23m151e03,Llocnou d&prime;en Fenollet,,,90,39.01449400,-0.46925200,"24,5","14,8","25,3","41,0","0,0",SSO,"13,0","0,0","45,8","0,0",23/09/2025 13:50
soci,c23m170e04,Moixent,la Foia,,380,38.88842000,-0.75181000,"22,7","13,0","23,3","52,0","1,6",E,"16,1","0,0","36,6","0,0",23/09/2025 13:50
soci,c23m174e05,Montesa,els Canterers,,221,38.93216100,-0.62288800,"23,8","13,2","24,2","45,0","5,6",NNE,"17,7","0,0",,"0,0",23/09/2025 13:50
soci,c23m217e02,Rotgl&agrave; i Corber&agrave;,,,123,39.00357400,-0.56639900,"25,2","14,9","25,2","40,0","1,4",ENE,"13,0","0,0",,"0,0",23/09/2025 13:56
soci,c23m251e01,Vallada,,,290,38.89458030,-0.68934840,"23,3","15,1","23,3","48,0","3,3",NE,"14,5","0,0","34,6","0,0",23/09/2025 13:55
soci,c23m251e03,Vallada,Mol&iacute; de Baix,,256,38.90142010,-0.69804787,"23,3","13,1","23,4","46,0","8,2",NNE,"16,1","0,0","27,0","0,0",23/09/2025 13:45
